log_path,model,seq_len,d_block,d_ffn,train,forward,backward,validate,min_loss,test_loss,peak_memory/MB
05-18-0,Base,64,8,64,643.8536863,1.07674103,2.006623609,0.26663908,0.127033999,3.100498919,54.57177734
,,,,,,,,,,,
05-18-0,Base,64,8,128,1283.839765,1.128780509,1.903637365,0.273420328,0.146156727,3.431020046,58.14990234
,,,,,,,,,,,
05-18-0,Base,64,8,256,2564.047067,1.12436433,2.124686399,0.275298836,0.13792162,3.058187777,65.35302734
,,,,,,,,,,,
05-18-0,Base,128,8,64,644.5769113,1.255931306,2.545525702,0.343507692,0.155491418,3.173388235,142.9233398
,,,,,,,,,,,
05-18-0,Base,128,8,128,1284.982855,1.284665401,2.921645111,0.354689092,0.129948366,2.638711387,149.8764648
,,,,,,,,,,,
05-18-0,Base,128,8,256,2564.993201,1.425526216,2.794236449,0.378294094,0.137297796,2.915238104,163.7890625
,,,,,,,,,,,
05-18-0,Base,256,8,64,6412.414422,3.682396017,7.951837762,0.935251293,0.159513685,3.124336392,472.6264648
,,,,,,,,,,,
05-18-0,Base,256,8,128,12812.62088,3.765636906,8.078491443,0.948312759,0.138569169,3.072918621,486.3295898
,,,,,,,,,,,
05-18-0,Base,256,8,256,25613.11336,3.978638722,8.359944017,0.988025632,0.13845386,3.237255834,513.7421875
,,,,,,,,,,,
05-18-1,Torch,64,8,64,643.606676,1.009582724,1.948900812,0.145559854,0.126070157,2.734971867,51.84863281
,,,,,,,,,,,
05-18-1,Torch,64,8,128,1283.286838,1.038648051,1.58123385,0.148636759,0.123881992,2.703909177,56.53613281
,,,,,,,,,,,
05-18-1,Torch,64,8,256,2563.26431,1.038149786,1.562656369,0.144113891,0.134196428,2.739639887,66.70166016
,,,,,,,,,,,
05-18-1,Torch,128,8,64,643.6812069,1.063233782,1.93026612,0.17276448,0.124948026,2.609218738,129.8813477
,,,,,,,,,,,
05-18-1,Torch,128,8,128,1283.741711,1.048780117,2.023605478,0.178783198,0.119113226,2.711423205,137.3344727
,,,,,,,,,,,
05-18-1,Torch,128,8,256,2564.664168,1.095316411,2.879837772,0.203621885,0.126073283,2.858584758,153.5537109
,,,,,,,,,,,
05-18-1,Torch,256,8,64,647.4223619,2.437627531,4.329492506,0.358951524,0.130348482,2.801485772,413.0532227
,,,,,,,,,,,
05-18-1,Torch,256,8,128,1287.533568,2.532334027,4.356467731,0.380890441,0.118964581,2.614664667,425.7563477
,,,,,,,,,,,
05-18-1,Torch,256,8,256,2568.093374,2.774892101,4.677645101,0.432805587,0.141291379,3.078164241,454.9189453
,,,,,,,,,,,
05-18-1,Torch,512,8,64,6422.203481,7.862956416,13.6866881,0.997245154,0.126372747,2.803297167,1494.896973
,,,,,,,,,,,
05-18-1,Torch,512,8,128,12822.62799,8.018406237,13.95548848,1.041526462,0.128571029,2.785681626,1522.100098
,,,,,,,,,,,
05-18-1,Torch,512,8,256,25623.62193,8.395313157,14.57161886,1.150719841,0.127469778,2.758096999,1576.512695
,,,,,,,,,,,
05-18-1,Torch,1024,8,64,6476.317248,27.65180095,47.99422771,3.181089217,0.138580606,3.080542469,5724.584473
,,,,,,,,,,,
05-18-1,Torch,1024,8,128,12877.18114,27.92290254,48.58256115,3.268069807,0.152492446,3.868275467,5778.787598
,,,,,,,,,,,
05-18-1,Torch,1024,8,256,25679.09217,28.71967178,49.70062958,3.475671129,0.145811804,3.531913274,5887.200195
,,,,,,,,,,,
05-18-2,Linformer,64,8,64,644.6071311,1.201323999,2.541597031,0.287658093,0.122618258,2.798142946,34.79785156
,,,,,,,,,,,
05-18-2,Linformer,64,8,128,1284.478035,1.177908819,2.454374818,0.287402446,0.124383894,2.753551982,39.50341797
,,,,,,,,,,,
