model,seq_len,d_chunk,train,forward,criterion,backward,optimizer,test,min_loss,peak_memory/MB,fake_loss
Torch,256,-1,8.928858724,2.566490793,0.058115845,5.594512448,0.524762802,0.626776719,3.097529276,347.6064453,1.969996
Torch,512,-1,25.74932568,7.591566448,0.06600739,17.3112521,0.541836472,1.844605765,3.292027529,674.4814453,2.297106
Torch,1024,-1,83.29207883,24.79729818,0.083638415,57.46679468,0.598879752,5.753364329,3.351584746,1328.231445,2.232424
Torch,2048,-1,285.4304796,92.32168454,0.108988409,191.8765991,0.662206497,19.6078238,4.275555533,2636.231445,0
Torch,3072,-1,587.2539448,192.441683,0.117333941,393.5349136,0.639897413,40.15969898,4.493273028,3944.981445,0
HBA,128,8,4.89441926,1.64105041,0.07230175,2.377995195,0.640427246,0.416406512,2.733687402,182.6777344,0
HBA,256,8,7.062535944,1.939547381,0.076884298,4.216930056,0.644393659,0.476251264,2.825562712,344.6152344,0
HBA,512,16,12.21669542,4.048517237,0.068049016,7.24646944,0.639194474,0.940761938,2.860370092,716.4902344,0
HBA,1024,16,22.54129799,7.822727847,0.070664821,13.73995055,0.6285636,1.791054931,2.875664966,1412.240234,0
HBA,2048,16,40.79549817,14.2045894,0.075736117,25.50504552,0.619261117,3.222485495,2.735349406,2804.240234,0
HBA_16,128,16,4.688753896,1.67494699,0.072136006,2.132755284,0.645441313,0.421925592,2.886265082,194.6777344,0
HBA_16,256,16,6.7578019,2.057281055,0.072337861,3.778420849,0.662710781,0.497925181,2.772848383,368.6152344,0
HBA_16,512,16,12.23318003,4.014944515,0.069342604,7.2572088,0.666692214,0.935053692,2.923655585,716.4902344,0
HBA_16,1024,16,22.67867888,7.970672574,0.07216115,13.71263523,0.637311811,1.821541038,2.799354409,1412.240234,0
HBA_16,2048,16,40.93004447,14.36135618,0.076436749,25.49617353,0.621299148,3.256100311,2.718825914,2804.240234,0
HBA_32,128,32,4.777724342,1.631993427,0.070136008,2.266408868,0.65306633,0.409511447,2.419901191,218.6777344,0
HBA_32,256,32,7.590876198,2.636975265,0.065535669,4.057420859,0.650957184,0.632477589,2.560070194,416.6152344,0
HBA_32,512,32,13.68999594,5.125386348,0.068936415,7.633706985,0.647771053,1.193386741,2.513399823,812.4902344,0
HBA_32,1024,32,25.33758368,9.861234565,0.072199631,14.48811117,0.639102697,2.274580851,2.624654005,1604.240234,0
HBA_64,128,64,4.927440839,1.635875783,0.071489549,2.421765947,0.636789055,0.414334912,2.389127639,269.6464844,0
HBA_64,256,64,7.836912417,2.73722764,0.066197009,4.211385207,0.640627208,0.633522344,2.430744167,517.5527344,0
HBA_64,512,64,14.08762377,5.309434395,0.071695046,7.840134234,0.647468834,1.196615744,2.524040528,1013.365234,0
HBA_64,1024,64,25.88754087,10.11422924,0.071810665,14.79161443,0.628010621,2.254485188,2.554479727,2004.990234,0
4.15,,,,,,,,,,,
Base,128,-1,,,,,,,,373.646,
Chunk,128,128,16.09305112,5.584077199,0.132700602,9.0220414,0.886674325,1.216426293,6.806770517,372.6464844,
Chunk,128,64,12.60679579,4.381464958,0.139837265,6.933243116,0.7610418,1.000841618,6.973699096,269.6464844,
Chunk,128,32,12.49421994,4.15754358,0.158897161,6.859986941,0.927308083,0.973147869,7.128713595,218.6777344,
Chunk,128,16,12.41478618,3.9092683,0.084821622,7.218239387,0.802375317,0.933949153,8.283039714,194.6777344,
Chunk,128,8,11.90932314,3.734502474,0.102246841,6.951895475,0.763603687,0.913869858,7.408103907,182.6777344,
Chunk,128,4,14.59733446,3.629324039,0.145647923,9.702460289,0.722995917,0.891707818,7.487583332,176.6777344,
Chunk,128,2,19.68425322,3.90728116,0.180772384,14.20105871,0.952848832,0.958442767,7.691632024,173.6777344,
Chunk,128,1,13.00143131,4.085551659,0.159573317,7.499488831,0.875432253,1.024846156,7.785748151,172.1777344,
Torch,128,-1,                24.774075984954834,6.810212135314941,                0.29537439346313477,16.279183626174927,                0.908207893371582,1.7671706676483154,                7.2613600864322905,198.0439453125
Base,128,-1,                30.06044888496399,10.229501485824585,                0.2301650047302246,17.985224962234497,                1.085639238357544,2.283855676651001,                3.079486479452991,571.177734375
Torch,128,-1,                24.820080995559692,6.722066640853882,                0.21222257614135742,16.476792812347412,                0.860093355178833,1.6354506015777588,                7.470123253831076,198.0439453125
Torch,128,-1,                25.852762699127197,7.050957441329956,                0.3090403079986572,16.731794834136963,                1.192121982574463,1.7467536926269531,                8.020106532158108,198.0439453125
Base,128,-1,                29.137970447540283,9.799134969711304,                0.22792863845825195,17.705070972442627,                0.9488248825073242,2.3330495357513428,                3.1206587137432273,571.177734375
HBA,128,8,                18.8767831325531,6.099642992019653,                0.25716662406921387,11.219239234924316,                0.8615691661834717,1.4943933486938477,                3.3448178576766896,200.208984375
HBA,128,8,18.2444486618042,5.954388856887817,0.22467947006225586,10.906695365905762,0.7929890155792236,1.4735627174377441,3.363585127056192,200.208984375
HBA,128,8,18.53507947921753,5.911638021469116,0.20188570022583008,11.05866289138794,0.9615049362182617,1.5118181705474854,3.500676040255695,200.208984375
HBA,256,8,36.75853133201599,11.359339714050293,0.26122617721557617,23.59019923210144,1.0262374877929688,2.762176990509033,3.410218180881606,379.677734375
HBA,512,8,66.72989416122437,20.72579073905945,0.2878260612487793,43.78037095069885,1.1456654071807861,4.906260967254639,3.1632621923707567,738.615234375
HBA,1024,8,118.19172835350037,38.4716215133667,0.25789856910705566,77.46909642219543,1.1357617378234863,9.159253358840942,3.388759559219323,1456.490234375
